record_id,date,activity,duration_min,focus_level,mood_before,mood_after,location_type,used_reference,note
1,2026-05-04,스케치,35,3,피곤함,차분함,집,True,인물 손 연습
2,2026-05-05,코딩,55,4,보통,몰입함,학교,True,반복 패턴 수정
3,2026-05-06,읽기,25,2,산만함,보통,이동 중,False,전시 서문 읽기
4,2026-05-07,편집,70,5,보통,만족함,학교,True,중간 포스터 색 보정
5,2026-05-08,음악,40,3,피곤함,활기참,집,False,리듬 스케치
6,2026-05-09,스케치,20,,산만함,,카페,True,집중도 기록 누락
7,2026-05-10,코딩,65,4,차분함,만족함,집,True,함수 이름 정리
8,2026-05-11,읽기,30,3,보통,차분함,도서관,False,데이터 아트 사례
9,2026-05-12,편집,45,4,피곤함,보통,학교,True,레이어 순서 비교
10,2026-05-13,음악,50,5,활기참,몰입함,연습실,False,소리 질감 기록
11,2026-05-14,스케치,28,3,보통,차분함,카페,True,공간 형태 관찰
12,2026-05-15,코딩,80,5,차분함,만족함,학교,True,자동 검사 수정
13,2026-05-16,읽기,18,2,피곤함,보통,이동 중,False,짧은 논문 메모
14,2026-05-17,편집,60,4,보통,몰입함,집,True,포스터 여백 조정
15,2026-05-18,음악,35,,산만함,활기참,연습실,False,집중도 기록 누락
16,2026-05-19,스케치,42,4,차분함,만족함,학교,True,도형 변형 아이디어
17,2026-05-20,코딩,75,5,보통,몰입함,집,True,CSV 읽기 연습
18,2026-05-21,읽기,32,3,피곤함,차분함,도서관,False,데이터 윤리 사례
19,2026-05-22,편집,48,4,보통,만족함,카페,True,문장 길이 줄이기
20,2026-05-23,음악,58,4,활기참,몰입함,연습실,False,박자 변주 기록
21,2026-05-24,스케치,24,2,산만함,보통,이동 중,False,창문 형태 메모
22,2026-05-25,코딩,68,5,차분함,만족함,학교,True,데이터 카드 출력
23,2026-05-26,읽기,38,3,보통,차분함,도서관,False,공공데이터 설명서
24,2026-05-27,편집,52,4,피곤함,만족함,집,True,제출 파일 점검
